City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
176,kinshasa,88,CD,1513026000,88,-4.32,15.32,77.0,3.36
177,saint-joseph,0,RE,1513027800,65,-21.37,55.62,77.0,6.93
178,onalaska,90,US,1513026900,80,43.88,-91.24,33.8,10.29
179,ambikapur,0,IN,1513029642,78,23.12,83.2,52.18,3.91
180,geraldton,90,AU,1513026000,78,-28.77,114.6,71.6,12.75
181,sampit,80,ID,1513029834,96,-2.53,112.95,73.15,6.38
182,naze,75,JP,1513027800,58,28.37,129.48,59.0,10.29
183,porto novo,75,CV,1513026000,57,17.02,-25.06,75.2,18.34
184,berlevag,20,NO,1513029000,74,70.86,29.09,30.2,27.51
185,arraial do cabo,40,BR,1513026000,83,-22.97,-42.03,78.8,11.41
186,chara,0,RU,1513029836,0,56.91,118.26,-40.79,1.68
187,atasu,68,KZ,1513029837,87,48.68,71.64,9.61,3.36
188,osa,48,RU,1513029837,79,57.28,55.46,2.01,6.04
189,upernavik,0,GL,1513029838,100,72.79,-56.15,21.99,7.49
190,talnakh,80,RU,1513029838,91,69.49,88.4,1.15,4.7
191,saint anthony,90,US,1513028700,74,45.02,-93.22,33.8,16.11
192,vila velha,75,BR,1513026000,94,-20.33,-40.29,80.6,11.41
193,gazanjyk,76,TM,1513029840,90,39.24,55.52,28.83,4.81
194,grand gaube,20,MU,1513026000,88,-20.01,57.66,75.2,4.7
195,aras,75,ES,1513027800,86,42.56,-2.36,41.0,8.05
196,tielt,75,BE,1513029000,80,51.0,3.37,39.2,16.11
197,iberia,68,PE,1513029842,81,-11.35,-69.58,79.9,2.57
198,catuday,48,PH,1513029842,98,16.29,119.81,78.1,5.59
199,platanos,40,GR,1513027200,81,37.67,21.62,50.0,3.36
200,kimbe,92,PG,1513029844,100,-5.55,150.14,76.35,0.56
201,bantry,0,IE,1513029845,100,51.68,-9.45,42.73,13.09
202,tulun,20,RU,1513029845,67,54.56,100.58,-9.92,5.59
203,dikson,48,RU,1513029846,100,73.51,80.55,2.46,18.79
204,manitowoc,90,US,1513027260,86,44.09,-87.66,30.2,6.93
205,tugulym,90,RU,1513027800,84,57.06,64.64,6.8,4.47
206,braganca,80,BR,1513029847,71,-1.05,-46.77,83.23,9.62
207,kristiansund,75,NO,1513027200,80,63.11,7.73,30.2,3.36
208,zemio,0,CF,1513029848,80,5.03,25.14,70.68,3.36
209,bolkhov,92,RU,1513029849,92,53.44,36.0,29.73,9.4
210,los algarrobos,75,PA,1513026000,88,8.5,-82.43,80.6,5.82
211,ahipara,0,NZ,1513029850,79,-35.17,173.17,69.6,4.14
212,port hedland,0,AU,1513026000,78,-20.32,118.57,77.0,10.29
213,sao joao da barra,20,BR,1513026000,62,-21.64,-41.05,84.2,2.24
214,lompoc,1,US,1513028100,12,34.64,-120.46,82.4,3.58
215,sale,40,MA,1513027800,87,34.04,-6.82,50.0,6.93
216,suntar,44,RU,1513029853,48,62.14,117.63,-29.23,4.81
217,carutapera,36,BR,1513029853,74,-1.2,-46.02,83.05,12.08
